path,archetype
ArtemisArt/bergman - anna-eva-bergman_1909/bergman_28.jpg,14
ArtemisArt/bergman - anna-eva-bergman_1909/bergman_35.jpg,12
ArtemisArt/bergman - anna-eva-bergman_1909/bergman_42.jpg,14
ArtemisArt/bergman - anna-eva-bergman_1909/bergman_5.jpg,15
ArtemisArt/bergman - anna-eva-bergman_1909/bergman_7.jpg,14
ArtemisArt/berman - eugene-berman_1899/berman_14.jpg,15
ArtemisArt/berman - eugene-berman_1899/berman_3.jpg,14
ArtemisArt/bernard - emile-bernard_1868/bernard_10.jpg,12
ArtemisArt/bernard - emile-bernard_1868/bernard_18.jpg,10
ArtemisArt/bernard - emile-bernard_1868/bernard_25.jpg,14
ArtemisArt/blake - william-blake_1827/blake_1.jpg,14
ArtemisArt/blake - william-blake_1827/blake_17.jpg,14
ArtemisArt/blake - william-blake_1827/blake_5.jpg,14
ArtemisArt/blanchard-j - jacques-blanchard_1600/blanchard-j_12.jpg,14
ArtemisArt/blanchard-j - jacques-blanchard_1600/blanchard-j_9.jpg,14
ArtemisArt/blanchard-m - maria-blanchard_1881/blanchard-m_7.jpg,14
ArtemisArt/blanche - jacques-emile-blanche_1861/blanche_14.jpg,14
ArtemisArt/blanche - jacques-emile-blanche_1861/blanche_21.jpg,14
ArtemisArt/blanche - jacques-emile-blanche_1861/blanche_29.jpg,12
ArtemisArt/blanche - jacques-emile-blanche_1861/blanche_6.jpg,14
ArtemisArt/bocklin - arnold-bocklin_1827/bocklin_4.jpg,14
ArtemisArt/boilly - louis-leopold-boilly_1761/boilly_11.jpg,14
ArtemisArt/boilly - louis-leopold-boilly_1761/boilly_19.jpg,10
ArtemisArt/boilly - louis-leopold-boilly_1761/boilly_26.jpg,14
ArtemisArt/boilly - louis-leopold-boilly_1761/boilly_33.jpg,14
ArtemisArt/boilly - louis-leopold-boilly_1761/boilly_40.jpg,14
ArtemisArt/boilly - louis-leopold-boilly_1761/boilly_48.jpg,12
ArtemisArt/boilly - louis-leopold-boilly_1761/boilly_9.jpg,10
ArtemisArt/boldini - giovanni-boldini_1842/boldini_16.jpg,14
ArtemisArt/boldini - giovanni-boldini_1842/boldini_23.jpg,14
ArtemisArt/boldini - giovanni-boldini_1842/boldini_30.jpg,14
ArtemisArt/boldini - giovanni-boldini_1842/boldini_38.jpg,12
ArtemisArt/boldini - giovanni-boldini_1842/boldini_45.jpg,14
ArtemisArt/boldini - giovanni-boldini_1842/boldini_52.jpg,14
ArtemisArt/bonechi - lorenzo-bonechi_1955/bonechi_10.jpg,12
ArtemisArt/bonechi - lorenzo-bonechi_1955/bonechi_18.jpg,10
ArtemisArt/bonechi - lorenzo-bonechi_1955/bonechi_25.jpg,0
ArtemisArt/bonechi - lorenzo-bonechi_1955/bonechi_9.jpg,6
ArtemisArt/bonheur - marie-rosalie-bonheur-dite-rosa_1822/bonheur_6.jpg,14
ArtemisArt/bonington - richard-parkes-bonington_1802/bonington_4.jpg,12
ArtemisArt/bonnard - pierre-bonnard_1867/bonnard_11.jpg,14
ArtemisArt/bonnard - pierre-bonnard_1867/bonnard_19.jpg,12
ArtemisArt/bonnard - pierre-bonnard_1867/bonnard_26.jpg,14
ArtemisArt/bonnard - pierre-bonnard_1867/bonnard_33.jpg,14
ArtemisArt/bonnard - pierre-bonnard_1867/bonnard_40.jpg,14
ArtemisArt/bonnard - pierre-bonnard_1867/bonnard_48.jpg,14
ArtemisArt/bonnard - pierre-bonnard_1867/bonnard_55.jpg,14
ArtemisArt/bonnard - pierre-bonnard_1867/bonnard_62.jpg,14
ArtemisArt/bonnard - pierre-bonnard_1867/bonnard_7.jpg,14
ArtemisArt/bonnat - leon-bonnat_1833/bonnat_11.jpg,14
ArtemisArt/bonnat - leon-bonnat_1833/bonnat_4.jpg,14
ArtemisArt/bosch - jerome-bosch_1450/bosch_11.jpg,14
ArtemisArt/bosch - jerome-bosch_1450/bosch_19.jpg,10
ArtemisArt/bosch - jerome-bosch_1450/bosch_26.jpg,14
ArtemisArt/bosch - jerome-bosch_1450/bosch_33.jpg,14
ArtemisArt/bosch - jerome-bosch_1450/bosch_8.jpg,14
ArtemisArt/botticelli - alessandro-filipepi-dit-sandro-botticelli_1444/botticelli_15.jpg,14
ArtemisArt/botticelli - alessandro-filipepi-dit-sandro-botticelli_1444/botticelli_22.jpg,1
ArtemisArt/botticelli - alessandro-filipepi-dit-sandro-botticelli_1444/botticelli_3.jpg,14
ArtemisArt/botticelli - alessandro-filipepi-dit-sandro-botticelli_1444/botticelli_37.jpg,14
ArtemisArt/botticelli - alessandro-filipepi-dit-sandro-botticelli_1444/botticelli_44.jpg,14
ArtemisArt/botticelli - alessandro-filipepi-dit-sandro-botticelli_1444/botticelli_51.jpg,10
ArtemisArt/botticelli - alessandro-filipepi-dit-sandro-botticelli_1444/botticelli_59.jpg,14
ArtemisArt/botticelli - alessandro-filipepi-dit-sandro-botticelli_1444/botticelli_66.jpg,9
ArtemisArt/botticelli - alessandro-filipepi-dit-sandro-botticelli_1444/botticelli_73.jpg,14
ArtemisArt/botticelli - alessandro-filipepi-dit-sandro-botticelli_1444/botticelli_80.jpg,9
ArtemisArt/botticini - francesco-botticini_1446/botticini_1.jpg,10
ArtemisArt/botticini - francesco-botticini_1446/botticini_6.jpg,14
ArtemisArt/boucher - francois-boucher_1703/boucher_13.jpg,14
ArtemisArt/boucher - francois-boucher_1703/boucher_20.jpg,14
ArtemisArt/boucher - francois-boucher_1703/boucher_28.jpg,14
ArtemisArt/boucher - francois-boucher_1703/boucher_35.jpg,10
ArtemisArt/boucher - francois-boucher_1703/boucher_42.jpg,14
ArtemisArt/boucher - francois-boucher_1703/boucher_5.jpg,14
ArtemisArt/boucher - francois-boucher_1703/boucher_57.jpg,14
ArtemisArt/boucher - francois-boucher_1703/boucher_64.jpg,14
ArtemisArt/boudin - eugene-boudin_1824/boudin_11.jpg,14
ArtemisArt/boudin - eugene-boudin_1824/boudin_19.jpg,14
ArtemisArt/boudin - eugene-boudin_1824/boudin_26.jpg,14
ArtemisArt/boudin - eugene-boudin_1824/boudin_33.jpg,14
ArtemisArt/boudin - eugene-boudin_1824/boudin_40.jpg,14
ArtemisArt/boudin - eugene-boudin_1824/boudin_48.jpg,14
ArtemisArt/bouguereau - william-bouguereau_1825/bouguereau_10.jpg,14
ArtemisArt/bouguereau - william-bouguereau_1825/bouguereau_7.jpg,14
ArtemisArt/bouts - dirk-bouts-l-ancien_1420/bouts_3.jpg,10
ArtemisArt/braque - georges-braque_1882/braque_10.jpg,14
ArtemisArt/braque - georges-braque_1882/braque_18.jpg,14
ArtemisArt/braque - georges-braque_1882/braque_25.jpg,14
ArtemisArt/braque - georges-braque_1882/braque_32.jpg,14
ArtemisArt/braque - georges-braque_1882/braque_4.jpg,13
ArtemisArt/brauner - victor-brauner_1903/brauner_1.jpg,14
ArtemisArt/brauner - victor-brauner_1903/brauner_17.jpg,12
ArtemisArt/brauner - victor-brauner_1903/brauner_24.jpg,14
ArtemisArt/brauner - victor-brauner_1903/brauner_31.jpg,12
ArtemisArt/brauner - victor-brauner_1903/brauner_39.jpg,14
ArtemisArt/brauner - victor-brauner_1903/brauner_46.jpg,14
ArtemisArt/brauner - victor-brauner_1903/brauner_8.jpg,14
ArtemisArt/bronzino - agnolo-di-cosimi-dit-bronzino_1503/bronzino_15.jpg,14
ArtemisArt/bronzino - agnolo-di-cosimi-dit-bronzino_1503/bronzino_22.jpg,14
ArtemisArt/bronzino - agnolo-di-cosimi-dit-bronzino_1503/bronzino_3.jpg,14
ArtemisArt/bronzino - agnolo-di-cosimi-dit-bronzino_1503/bronzino_37.jpg,14
ArtemisArt/bronzino - agnolo-di-cosimi-dit-bronzino_1503/bronzino_44.jpg,10
ArtemisArt/bronzino - agnolo-di-cosimi-dit-bronzino_1503/bronzino_8.jpg,14
ArtemisArt/brueghel-j - jan-brueghel-l-ancien-dit-de-velours_1568/brueghel-j-I_15.jpg,14
ArtemisArt/brueghel-j - jan-brueghel-l-ancien-dit-de-velours_1568/brueghel-j-I_22.jpg,14
ArtemisArt/brueghel-j - jan-brueghel-l-ancien-dit-de-velours_1568/brueghel-j-I_3.jpg,15
ArtemisArt/brueghel-j - jan-brueghel-l-ancien-dit-de-velours_1568/brueghel-j-I_6.jpg,14
ArtemisArt/brueghel-p - pieter-brueghel-II_1564/brueghel-p_13.jpg,10
ArtemisArt/brueghel-p - pieter-brueghel-II_1564/brueghel-p_20.jpg,12
ArtemisArt/brueghel-p - pieter-brueghel-II_1564/brueghel-p_28.jpg,14
ArtemisArt/brueghel-p - pieter-brueghel-II_1564/brueghel-p_35.jpg,14
ArtemisArt/brueghel-p - pieter-brueghel-II_1564/brueghel-p_42.jpg,14
ArtemisArt/brueghel-p - pieter-brueghel-II_1564/brueghel-p_9.jpg,14
ArtemisArt/burne-jones - edward-coley-burne-jones_1833/burne-jones_8.jpg,2
ArtemisArt/burri - alberto-burri_1915/burri_15.jpg,14
ArtemisArt/burri - alberto-burri_1915/burri_8.jpg,14
ArtemisArt/camoin - charles-camoin_1879/camoin_15.jpg,2
ArtemisArt/camoin - charles-camoin_1879/camoin_22.jpg,3
ArtemisArt/camoin - charles-camoin_1879/camoin_3.jpg,14
ArtemisArt/camoin - charles-camoin_1879/camoin_5.jpg,10
ArtemisArt/canaletto - giovanni-antonio-canal_1697/canaletto_12.jpg,9
ArtemisArt/canaletto - giovanni-antonio-canal_1697/canaletto_2.jpg,13
ArtemisArt/canaletto - giovanni-antonio-canal_1697/canaletto_27.jpg,14
ArtemisArt/canaletto - giovanni-antonio-canal_1697/canaletto_34.jpg,14
ArtemisArt/caravaggio - michelangelo-da-caravaggio_1571/caravaggio_1.jpg,14
ArtemisArt/caravaggio - michelangelo-da-caravaggio_1571/caravaggio_17.jpg,14
ArtemisArt/caravaggio - michelangelo-da-caravaggio_1571/caravaggio_24.jpg,9
ArtemisArt/caravaggio - michelangelo-da-caravaggio_1571/caravaggio_31.jpg,10
ArtemisArt/caravaggio - michelangelo-da-caravaggio_1571/caravaggio_39.jpg,14
ArtemisArt/caravaggio - michelangelo-da-caravaggio_1571/caravaggio_46.jpg,14
ArtemisArt/caravaggio - michelangelo-da-caravaggio_1571/caravaggio_53.jpg,14
ArtemisArt/caravaggio - michelangelo-da-caravaggio_1571/caravaggio_9.jpg,14
ArtemisArt/carolus-duran - charles-durant-dit-carolus-duran_1837/carolus-duran_16.jpg,14
ArtemisArt/carolus-duran - charles-durant-dit-carolus-duran_1837/carolus-duran_8.jpg,14
ArtemisArt/carrache-a - annibale-carracci_1560/carrache-a_15.jpg,14
ArtemisArt/carrache-a - annibale-carracci_1560/carrache-a_22.jpg,2
ArtemisArt/carrache-a - annibale-carracci_1560/carrache-a_3.jpg,9
ArtemisArt/carriere - eugene-carriere_1849/carriere_1.jpg,14
ArtemisArt/carriere - eugene-carriere_1849/carriere_17.jpg,13
ArtemisArt/carriere - eugene-carriere_1849/carriere_9.jpg,14
ArtemisArt/carrington - leonora-carrington_1917/carrington_16.jpg,14
ArtemisArt/carrington - leonora-carrington_1917/carrington_23.jpg,14
ArtemisArt/carrington - leonora-carrington_1917/carrington_30.jpg,14
ArtemisArt/carrington - leonora-carrington_1917/carrington_38.jpg,14
ArtemisArt/carrington - leonora-carrington_1917/carrington_45.jpg,14
ArtemisArt/carrington - leonora-carrington_1917/carrington_52.jpg,14
ArtemisArt/carrington - leonora-carrington_1917/carrington_6.jpg,14
ArtemisArt/cavalier-d-arpin - giuseppe-cesari_1568/cavalier-d-arpin_11.jpg,13
ArtemisArt/cavalier-d-arpin - giuseppe-cesari_1568/cavalier-d-arpin_8.jpg,9
ArtemisArt/cezanne - paul-cezanne_1839/cezanne_104.jpg,14
ArtemisArt/cezanne - paul-cezanne_1839/cezanne_13.jpg,14
ArtemisArt/cezanne - paul-cezanne_1839/cezanne_20.jpg,14
ArtemisArt/cezanne - paul-cezanne_1839/cezanne_28.jpg,10
ArtemisArt/cezanne - paul-cezanne_1839/cezanne_35.jpg,14
ArtemisArt/cezanne - paul-cezanne_1839/cezanne_42.jpg,14
ArtemisArt/cezanne - paul-cezanne_1839/cezanne_5.jpg,-1
ArtemisArt/cezanne - paul-cezanne_1839/cezanne_57.jpg,14
ArtemisArt/cezanne - paul-cezanne_1839/cezanne_64.jpg,14
ArtemisArt/cezanne - paul-cezanne_1839/cezanne_71.jpg,14
ArtemisArt/cezanne - paul-cezanne_1839/cezanne_79.jpg,14
ArtemisArt/cezanne - paul-cezanne_1839/cezanne_86.jpg,14
ArtemisArt/cezanne - paul-cezanne_1839/cezanne_93.jpg,14
ArtemisArt/chagall - marc-chagall_1887/chagall_10.jpg,14
ArtemisArt/chagall - marc-chagall_1887/chagall_18.jpg,14
ArtemisArt/chagall - marc-chagall_1887/chagall_25.jpg,14
ArtemisArt/chagall - marc-chagall_1887/chagall_32.jpg,14
ArtemisArt/chagall - marc-chagall_1887/chagall_4.jpg,14
ArtemisArt/chagall - marc-chagall_1887/chagall_47.jpg,9
ArtemisArt/chagall - marc-chagall_1887/chagall_54.jpg,9
ArtemisArt/chaissac - gaston-chaissac_1910/chaissac_3.jpg,14
ArtemisArt/champaigne - philippe-de-champaigne_1602/champaigne_10.jpg,14
ArtemisArt/champaigne - philippe-de-champaigne_1602/champaigne_18.jpg,14
ArtemisArt/champaigne - philippe-de-champaigne_1602/champaigne_25.jpg,14
ArtemisArt/champaigne - philippe-de-champaigne_1602/champaigne_32.jpg,14
ArtemisArt/champaigne - philippe-de-champaigne_1602/champaigne_4.jpg,14
ArtemisArt/champaigne - philippe-de-champaigne_1602/champaigne_47.jpg,5
ArtemisArt/champaigne - philippe-de-champaigne_1602/champaigne_54.jpg,14
ArtemisArt/champaigne - philippe-de-champaigne_1602/champaigne_61.jpg,14
ArtemisArt/chardin - jean-baptiste-chardin_1699/chardin_11.jpg,10
ArtemisArt/chardin - jean-baptiste-chardin_1699/chardin_19.jpg,14
ArtemisArt/chardin - jean-baptiste-chardin_1699/chardin_26.jpg,14
ArtemisArt/chardin - jean-baptiste-chardin_1699/chardin_33.jpg,14
ArtemisArt/chardin - jean-baptiste-chardin_1699/chardin_40.jpg,10
ArtemisArt/chardin - jean-baptiste-chardin_1699/chardin_48.jpg,14
ArtemisArt/chardin - jean-baptiste-chardin_1699/chardin_55.jpg,14
ArtemisArt/chasseriau - theodore-chasseriau_1819/chasseriau_1.jpg,14
ArtemisArt/chasseriau - theodore-chasseriau_1819/chasseriau_17.jpg,14
ArtemisArt/chasseriau - theodore-chasseriau_1819/chasseriau_24.jpg,15
ArtemisArt/chasseriau - theodore-chasseriau_1819/chasseriau_31.jpg,14
ArtemisArt/chasseriau - theodore-chasseriau_1819/chasseriau_5.jpg,14
ArtemisArt/chirico - giorgio-de-chirico_1886/chirico_12.jpg,14
ArtemisArt/chirico - giorgio-de-chirico_1886/chirico_2.jpg,14
ArtemisArt/chirico - giorgio-de-chirico_1886/chirico_27.jpg,14
ArtemisArt/chirico - giorgio-de-chirico_1886/chirico_34.jpg,15
ArtemisArt/chirico - giorgio-de-chirico_1886/chirico_41.jpg,14
ArtemisArt/cimabue - cenni-di-pepo-dit-cimabue_1240/cimabue_10.jpg,14
ArtemisArt/cimabue - cenni-di-pepo-dit-cimabue_1240/cimabue_5.jpg,14
ArtemisArt/ciseri - antonio-ciseri_1821/ciseri_12.jpg,14
ArtemisArt/ciseri - antonio-ciseri_1821/ciseri_5.jpg,14
ArtemisArt/clouet-f - francois-clouet-et-son-atelier_1505/clouet-f_12.jpg,10
ArtemisArt/clouet-f - francois-clouet-et-son-atelier_1505/clouet-f_2.jpg,14
ArtemisArt/clouet-f - francois-clouet-et-son-atelier_1505/clouet-f_27.jpg,10
ArtemisArt/clouet-f - francois-clouet-et-son-atelier_1505/clouet-f_34.jpg,9
ArtemisArt/clouet-f - francois-clouet-et-son-atelier_1505/clouet-f_41.jpg,14
ArtemisArt/clouet-f - francois-clouet-et-son-atelier_1505/clouet-f_49.jpg,10
ArtemisArt/clouet-f - francois-clouet-et-son-atelier_1505/clouet-f_8.jpg,14
ArtemisArt/coello - alonso-sanchez-coello_1531/coello_6.jpg,9
ArtemisArt/colquhoun - ithell-colquhoun_1906/colquhoun_5.jpg,14
ArtemisArt/condo - george-condo_1957/condo_12.jpg,14
ArtemisArt/condo - george-condo_1957/condo_2.jpg,10
ArtemisArt/condo - george-condo_1957/condo_27.jpg,2
ArtemisArt/condo - george-condo_1957/condo_34.jpg,14
ArtemisArt/condo - george-condo_1957/condo_41.jpg,14
ArtemisArt/condo - george-condo_1957/condo_49.jpg,15
ArtemisArt/condo - george-condo_1957/condo_56.jpg,14
ArtemisArt/condo - george-condo_1957/condo_63.jpg,14
ArtemisArt/condo - george-condo_1957/condo_70.jpg,14
ArtemisArt/condo - george-condo_1957/condo_78.jpg,15
ArtemisArt/constable - john-constable_1778/constable_11.jpg,14
ArtemisArt/constable - john-constable_1778/constable_19.jpg,14
ArtemisArt/constable - john-constable_1778/constable_26.jpg,14
ArtemisArt/constable - john-constable_1778/constable_33.jpg,14
ArtemisArt/constable - john-constable_1778/constable_40.jpg,14
ArtemisArt/constable - john-constable_1778/constable_48.jpg,14
ArtemisArt/constable - john-constable_1778/constable_55.jpg,14
ArtemisArt/corneille-de-lyon - cornelius-de-lyon-et-son-atelier_1505/corneille-de-lyon_11.jpg,14
ArtemisArt/corneille-de-lyon - cornelius-de-lyon-et-son-atelier_1505/corneille-de-lyon_19.jpg,14
ArtemisArt/corneille-de-lyon - cornelius-de-lyon-et-son-atelier_1505/corneille-de-lyon_26.jpg,10
ArtemisArt/corneille-de-lyon - cornelius-de-lyon-et-son-atelier_1505/corneille-de-lyon_33.jpg,14
ArtemisArt/corneille-de-lyon - cornelius-de-lyon-et-son-atelier_1505/corneille-de-lyon_40.jpg,14
ArtemisArt/corot - jean-baptiste-camille-corot_1796/corot_1.jpg,14
ArtemisArt/corot - jean-baptiste-camille-corot_1796/corot_106.jpg,14
ArtemisArt/corot - jean-baptiste-camille-corot_1796/corot_113.jpg,14
ArtemisArt/corot - jean-baptiste-camille-corot_1796/corot_120.jpg,14
ArtemisArt/corot - jean-baptiste-camille-corot_1796/corot_128.jpg,12
ArtemisArt/corot - jean-baptiste-camille-corot_1796/corot_135.jpg,10
ArtemisArt/corot - jean-baptiste-camille-corot_1796/corot_142.jpg,14
ArtemisArt/corot - jean-baptiste-camille-corot_1796/corot_15.jpg,14
ArtemisArt/corot - jean-baptiste-camille-corot_1796/corot_17.jpg,14
ArtemisArt/corot - jean-baptiste-camille-corot_1796/corot_24.jpg,14
ArtemisArt/corot - jean-baptiste-camille-corot_1796/corot_31.jpg,14
ArtemisArt/corot - jean-baptiste-camille-corot_1796/corot_39.jpg,9
ArtemisArt/corot - jean-baptiste-camille-corot_1796/corot_46.jpg,14
ArtemisArt/corot - jean-baptiste-camille-corot_1796/corot_53.jpg,14
ArtemisArt/corot - jean-baptiste-camille-corot_1796/corot_60.jpg,12
ArtemisArt/corot - jean-baptiste-camille-corot_1796/corot_68.jpg,14
ArtemisArt/corot - jean-baptiste-camille-corot_1796/corot_75.jpg,14
ArtemisArt/corot - jean-baptiste-camille-corot_1796/corot_82.jpg,14
ArtemisArt/corot - jean-baptiste-camille-corot_1796/corot_9.jpg,14
ArtemisArt/corot - jean-baptiste-camille-corot_1796/corot_97.jpg,14
ArtemisArt/correge - antonio-allegri-dit-correge_1489/correge_4.jpg,9
ArtemisArt/courbet - gustave-courbet_1819/courbet_11.jpg,14
ArtemisArt/courbet - gustave-courbet_1819/courbet_19.jpg,9
ArtemisArt/courbet - gustave-courbet_1819/courbet_26.jpg,14
ArtemisArt/courbet - gustave-courbet_1819/courbet_33.jpg,4
ArtemisArt/courbet - gustave-courbet_1819/courbet_40.jpg,10
ArtemisArt/courbet - gustave-courbet_1819/courbet_48.jpg,14
ArtemisArt/courbet - gustave-courbet_1819/courbet_55.jpg,14
ArtemisArt/courbet - gustave-courbet_1819/courbet_62.jpg,14
ArtemisArt/courbet - gustave-courbet_1819/courbet_9.jpg,14
ArtemisArt/coxcie - michiel-coxcie_1499/coxcie_7.jpg,14
ArtemisArt/coypel-a - antoine-coypel_1661/coypel-a_6.jpg,14
ArtemisArt/coypel-ca - charles-antoine-coypel_1694/coypel-ca_2.jpg,14
ArtemisArt/cranach-l - lucas-cranach-dit-l-ancien_1472/cranach-l_1.jpg,10
ArtemisArt/cranach-l - lucas-cranach-dit-l-ancien_1472/cranach-l_17.jpg,14
ArtemisArt/cranach-l - lucas-cranach-dit-l-ancien_1472/cranach-l_24.jpg,14
ArtemisArt/cranach-l - lucas-cranach-dit-l-ancien_1472/cranach-l_31.jpg,9
ArtemisArt/cranach-l - lucas-cranach-dit-l-ancien_1472/cranach-l_8.jpg,14
ArtemisArt/crepin - fleury-joseph-crepin_1875/crepin_15.jpg,0
ArtemisArt/crepin - fleury-joseph-crepin_1875/crepin_3.jpg,15
ArtemisArt/cross - henri-edmond-joseph-delacroix-dit-cross_1858/cross_10.jpg,14
ArtemisArt/cross - henri-edmond-joseph-delacroix-dit-cross_1858/cross_8.jpg,14
ArtemisArt/da-empoli - jacopo-chimenti-dit-da-empoli_1551/da-empoli_4.jpg,14
ArtemisArt/da-fabriano - gentile-da-fabriano_1370/da-fabiano_2.jpg,14
ArtemisArt/da-milano - giovanni-da-milano_1320/da-milano_1.jpg,14
ArtemisArt/da-milano - giovanni-da-milano_1320/da-milano_4.jpg,10
ArtemisArt/da-rimini-gf - giovanni-francesco-da-rimini_1420/da-rimini-gf_11.jpg,14
ArtemisArt/da-rimini-gf - giovanni-francesco-da-rimini_1420/da-rimini-gf_7.jpg,14
ArtemisArt/da-vinci - leonardo-da-vinci_1452/da-vinci_14.jpg,14
ArtemisArt/da-vinci - leonardo-da-vinci_1452/da-vinci_21.jpg,14
ArtemisArt/da-vinci - leonardo-da-vinci_1452/da-vinci_29.jpg,14
ArtemisArt/da-vinci - leonardo-da-vinci_1452/da-vinci_36.jpg,14
ArtemisArt/da-vinci - leonardo-da-vinci_1452/da-vinci_43.jpg,10
ArtemisArt/da-vinci - leonardo-da-vinci_1452/da-vinci_50.jpg,14
ArtemisArt/da-vinci - leonardo-da-vinci_1452/da-vinci_6.jpg,14
ArtemisArt/daddi-b - bernardo-daddi_1290/daddi-b_13.jpg,14
ArtemisArt/daddi-b - bernardo-daddi_1290/daddi-b_20.jpg,14
ArtemisArt/daddi-b - bernardo-daddi_1290/daddi-b_28.jpg,5
ArtemisArt/daddi-b - bernardo-daddi_1290/daddi-b_35.jpg,15
ArtemisArt/daddi-b - bernardo-daddi_1290/daddi-b_8.jpg,14
ArtemisArt/dal-ponte - giovanni-di-marco-dit-giovanni-dal-ponte_1385/dal-ponte_7.jpg,15
ArtemisArt/dali - salvador-dali_1904/dali_15.jpg,10
